DATE,START,END,DURATION,ID,TOPIC
06/04/2021,09:02,10:02,60.0,172,PYTHON_PANDAS_MATPLOTLIB
06/05/2021,14:59,15:59,60.0,240,APIS
06/05/2021,17:01,18:03,62.0,72,APIS
06/06/2021,07:08,08:08,60.0,172,APIS
06/06/2021,13:01,14:00,59.0,17,APIS
06/06/2021,15:01,16:11,70.0,9,APIS
06/06/2021,13:01,14:00,59.0,17,APIS
06/06/2021,15:01,15:11,10.0,9,APIS
06/05/2021,19:00,20:00,60.0,239,HTML_CSS
06/06/2021,20:00,21:10,70.0,165,PYTHON_PANDAS_MATPLOTLIB
06/07/2021,05:01,06:02,61.0,3,FLASK
06/07/2021,10:01,11:01,60.0,139,TABLEAU
06/07/2021,12:01,13:01,60.0,179,HTML_CSS
06/07/2021,18:26,18:59,33.0,209,TABLEAU
06/08/2021,08:00,09:01,61.0,33,APIS
06/08/2021,11:00,12:00,60.0,139,GIT
06/08/2021,14:01,15:01,60.0,168,GIT
06/08/2021,17:15,18:15,60.0,239,APIS
06/08/2021,18:59,19:59,60.0,165,PYTHON_PANDAS_MATPLOTLIB
06/09/2021,10:00,11:00,60.0,139,STATISTICS
06/09/2021,11:55,12:59,64.0,88,GIT
06/10/2021,08:01,09:02,61.0,149,GIT
06/10/2021,11:05,12:06,61.0,241,STATISTICS
06/10/2021,13:00,14:01,61.0,47,APIS
06/10/2021,14:56,15:26,30.0,64,EXCEL_VBA
06/10/2021,17:00,18:00,60.0,139,STATISTICS
06/10/2021,19:02,20:02,60.0,172,SQL
06/11/2021,09:30,13:09,219.0,209,DOCKER_DEPLOY
06/11/2021,13:02,14:03,61.0,71,APIS
06/11/2021,14:00,15:00,60.0,139,JAVASCRIPT
06/13/2021,17:00,18:00,60.0,239,JAVASCRIPT
06/12/2021,09:07,10:08,61.0,172,APIS
06/12/2021,12:59,13:58,59.0,156,JAVASCRIPT
06/12/2021,14:59,15:59,60.0,72,HTML_CSS
06/12/2021,18:00,19:00,60.0,240,JAVASCRIPT
06/12/2021,20:00,20:34,34.0,112,PYTHON_PANDAS_MATPLOTLIB
06/12/2021,10:08,11:08,60.0,172,APIS
06/13/2021,15:00,16:00,60.0,239,APIS
06/12/2021,18:00,19:00,60.0,237,ML_SUPERVISED
06/14/2021,13:59,14:59,60.0,241,PYTHON_PANDAS_MATPLOTLIB
06/14/2021,17:00,18:00,60.0,167,FLASK
06/16/2021,14:00,15:00,60.0,98,REACT
06/16/2021,18:00,19:00,60.0,179,APIS
06/16/2021,20:02,21:06,64.0,239,APIS
06/16/2021,06:00,07:00,60.0,69,ML_UNSUPERVISED
06/15/2021,10:59,11:59,60.0,71,SQL
06/16/2021,13:00,14:03,63.0,88,EXCEL_VBA
06/17/2021,20:00,21:02,62.0,64,GIT
06/17/2021,07:01,08:01,60.0,149,ETL
06/18/2021,09:00,10:00,60.0,168,GIT
06/18/2021,11:00,12:02,62.0,47,JAVASCRIPT
06/15/2021,16:01,16:31,30.0,9,JAVASCRIPT
06/19/2021,12:06,13:08,62.0,172,JAVASCRIPT
06/19/2021,20:00,21:00,60.0,3,JAVASCRIPT
06/20/2921,11:01,12:01,60.0,10,NODE_EXPRESS
06/20/2021,12:57,13:59,62.0,17,JAVASCRIPT
06/20/2021,17:01,18:02,61.0,165,PYTHON_PANDAS_MATPLOTLIB
06/21/2021,08:59,10:03,64.0,156,JAVASCRIPT
06/21/2021,18:00,19:03,63.0,93,EXCEL_VBA
06/21/2021,21:00,22:00,60.0,239,NODE_EXPRESS
06/21/2021,22:02,23:03,61.0,165,ETL
06/22/2021,11:00,12:01,61.0,98,REACT
06/22/2021,13:01,14:03,62.0,241,ETL
06/22/2021,20:05,21:04,59.0,112,GIT
06/23/2021,06:58,08:01,63.0,244,COMPUTER_SCIENCE
06/23/2021,10:00,11:00,60.0,143,GIT
06/23/2021,12:03,13:03,60.0,88,PYTHON_PANDAS_MATPLOTLIB
06/23/2021,15:59,16:59,60.0,64,PYTHON_PANDAS_MATPLOTLIB
06/23/2021,18:22,19:22,60.0,239,NODE_EXPRESS
06/24/2021,13:02,14:02,60.0,71,SQL
06/24/2021,16:02,17:22,80.0,239,NODE_EXPRESS
06/24/2021,06:00,07:10,70.0,181,ETL
06/25/2021,07:59,09:00,61.0,149,ORMS
06/25/2021,11:01,12:00,59.0,47,JAVASCRIPT
06/25/2021,13:00,14:01,61.0,168,EXCEL_VBA
06/25/2021,20:00,21:00,60.0,143,PYTHON_PANDAS_MATPLOTLIB
06/26/2021,10:05,11:05,60.0,172,PYSPARK
06/26/2021,12:08,13:08,60.0,239,COMPUTER_SCIENCE
06/26/2021,15:00,15:55,55.0,179,JAVASCRIPT
06/23/2021,16:59,18:00,61.0,72,PYTHON_PANDAS_MATPLOTLIB
06/26/2021,19:59,21:02,63.0,3,JAVASCRIPT
06/27/2021,08:02,09:02,60.0,10,NODE_EXPRESS
06/24/2021,10:00,11:00,60.0,33,JAVASCRIPT
06/27/2021,18:00,18:30,30.0,240,STATISTICS
06/28/2021,11:02,12:02,60.0,241,ETL
06/28/2021,09:02,10:03,61.0,172,PYSPARK
06/28/2021,11:00,11:55,55.0,168,EXCEL_VBA
06/28/2021,21:16,22:16,60.0,239,COMPUTER_SCIENCE
06/30/2021,07:00,07:42,42.0,244,JAVASCRIPT
06/30/2021,08:56,10:00,64.0,12,JAVASCRIPT
06/30/2021,11:59,13:00,61.0,88,PYTHON_PANDAS_MATPLOTLIB
06/30/2021,14:01,15:03,62.0,71,ORMS
06/30/2021,18:00,18:40,40.0,64,PYTHON_PANDAS_MATPLOTLIB
07/01/2021,06:01,07:01,60.0,149,APIS
07/01/2021,10:59,12:02,63.0,47,JAVASCRIPT
07/01/2021,13:00,14:01,61.0,17,JAVASCRIPT
07/02/2021,10:00,11:01,61.0,93,PYTHON_PANDAS_MATPLOTLIB
07/02/2021,12:03,13:04,61.0,143,PYTHON_PANDAS_MATPLOTLIB
07/02/2021,14:00,15:01,61.0,156,JAVASCRIPT
07/02/2021,16:00,16:59,59.0,98,REACT
07/02/2021,21:00,21:58,58.0,72,JAVASCRIPT
07/03/2021,10:07,11:07,60.0,239,COMPUTER_SCIENCE
07/03/2021,15:01,16:01,60.0,179,JAVASCRIPT
07/03/2021,08:02,09:02,60.0,3,JAVASCRIPT
07/06/2021,09:01,10:01,60.0,168,PYTHON_PANDAS_MATPLOTLIB
07/06/2021,11:00,12:03,63.0,241,SQL
07/06/2021,21:11,22:11,60.0,239,COMPUTER_SCIENCE
07/07/2021,08:00,09:01,61.0,47,JAVASCRIPT
07/07/2021,12:01,13:01,60.0,88,GIT
07/07/2021,15:03,16:03,60.0,64,PYTHON_PANDAS_MATPLOTLIB
07/07/2021,16:59,17:59,60.0,150,EXCEL_VBA
07/07/2021,18:59,20:00,61.0,171,PYTHON_PANDAS_MATPLOTLIB
07/08/2021,07:01,08:01,60.0,244,JAVASCRIPT
07/08/2021,08:58,09:58,60.0,93,PYTHON_PANDAS_MATPLOTLIB
07/08/2021,11:01,12:01,60.0,179,JAVASCRIPT
07/08/2021,12:58,13:38,40.0,17,JAVASCRIPT
07/08/2021,21:18,22:19,61.0,239,NODE_EXPRESS
07/09/2021,07:58,09:01,63.0,149,JAVASCRIPT
07/09/2021,11:02,12:02,60.0,156,JAVASCRIPT
07/09/2021,13:00,14:01,61.0,71,FLASK
07/09/2021,14:57,16:00,63.0,143,PYTHON_PANDAS_MATPLOTLIB
07/09/2021,19:01,20:01,60.0,12,JAVASCRIPT
07/09/2021,20:02,21:00,58.0,98,REACT
07/10/2021,11:09,12:09,60.0,172,ML_SUPERVISED
07/10/2021,13:00,14:00,60.0,239,COMPUTER_SCIENCE
07/10/2021,14:59,16:00,61.0,181,GIT
07/10/2021,17:59,19:00,61.0,72,JAVASCRIPT
07/10/2021,20:00,21:00,60.0,3,JAVASCRIPT
07/11/2021,10:00,11:00,60.0,239,NODE_EXPRESS
07/11/2021,15:00,16:00,60.0,112,SQL
07/13/2021,07:01,08:00,59.0,33,JAVASCRIPT
07/13/2021,10:00,11:01,61.0,47,JAVASCRIPT
07/13/2021,12:03,13:01,58.0,241,ORMS
07/13/2021,20:01,21:00,59.0,71,HTML_CSS
07/14/2021,07:00,08:00,60.0,149,JAVASCRIPT
07/14/2021,09:00,10:00,60.0,168,PYTHON_PANDAS_MATPLOTLIB
07/14/2021,12:01,13:01,60.0,88,APIS
07/14/2021,14:03,15:03,60.0,143,STATISTICS
07/14/2021,15:59,17:03,64.0,98,GRAPHQL
07/14/2021,17:03,18:03,60.0,171,PYTHON_PANDAS_MATPLOTLIB
07/14/2021,20:56,22:04,68.0,165,APIS
07/15/2021,07:03,08:03,60.0,244,JAVASCRIPT
07/15/2021,10:02,11:02,60.0,47,FLASK
07/15/2021,13:00,14:06,66.0,93,PYTHON_PANDAS_MATPLOTLIB
07/15/2021,20:00,20:12,12.0,112,GIT
07/16/2021,07:59,09:00,61.0,149,JAVASCRIPT
07/16/2021,10:00,11:00,60.0,71,HTML_CSS
07/16/2021,12:01,12:57,56.0,150,PYTHON_PANDAS_MATPLOTLIB
07/16/2021,13:59,14:55,56.0,156,JAVASCRIPT
07/16/2021,19:01,19:58,57.0,10,NODE_EXPRESS
07/16/2021,21:05,21:56,51.0,239,REACT
07/17/2021,11:08,11:57,49.0,172,ML_UNSUPERVISED
07/17/2021,13:01,13:47,46.0,64,PYTHON_PANDAS_MATPLOTLIB
07/17/2021,16:00,17:00,60.0,179,JAVASCRIPT
07/17/2021,20:00,21:00,60.0,3,FLASK
07/18/2021,11:00,12:20,80.0,12,APIS
07/16/2021,14:58,15:59,61.0,72,JAVASCRIPT
07/20/2021,07:02,08:02,60.0,33,FLASK
07/20/2021,10:01,11:01,60.0,47,FLASK
07/20/2021,21:02,22:02,60.0,165,SQL
07/21/2021,06:01,07:01,60.0,3,ML_SUPERVISED
07/21/2021,08:00,09:03,63.0,244,JAVASCRIPT
07/21/2021,09:59,10:59,60.0,93,APIS
07/21/2021,12:01,13:03,62.0,88,APIS
07/21/2021,13:59,14:57,58.0,10,NODE_EXPRESS
07/21/2021,15:00,15:56,56.0,98,REACT
07/21/2021,16:00,17:00,60.0,171,PYTHON_PANDAS_MATPLOTLIB
07/21/2021,20:53,21:37,44.0,239,REACT
07/22/2021,07:00,08:03,63.0,149,GIT
07/22/2021,10:01,11:00,59.0,47,FLASK
07/22/2021,14:02,15:01,59.0,71,APIS
07/23/2021,05:58,06:59,61.0,149,JAVASCRIPT
07/23/2021,11:00,12:01,61.0,168,PYTHON_PANDAS_MATPLOTLIB
07/23/2021,13:01,14:00,59.0,143,APIS
07/23/2021,19:03,20:03,60.0,172,ML_SUPERVISED
07/23/2021,21:01,22:00,59.0,179,SQL
07/24/2021,10:10,11:10,60.0,239,REACT
07/24/2021,12:04,13:01,57.0,225,PYTHON_PANDAS_MATPLOTLIB
07/24/2021,13:03,13:58,55.0,17,JAVASCRIPT
07/21/2021,14:00,15:00,60.0,71,APIS
07/24/2021,19:00,20:00,60.0,64,APIS
07/25/2021,11:00,12:00,60.0,72,FLASK
07/24/2021,19:00,20:00,60.0,64,APIS
07/25/2021,11:00,12:00,60.0,72,FLASK
07/27/2021,08:01,09:01,60.0,33,GIT
07/27/2021,09:59,11:01,62.0,72,FLASK
07/27/2021,12:07,13:06,59.0,241,HTML_CSS
07/28/2021,10:01,11:01,60.0,47,COMPUTER_SCIENCE
07/28/2021,11:59,12:51,52.0,88,ETL
07/28/2021,14:59,16:03,64.0,71,JAVASCRIPT
07/29/2021,07:03,08:03,60.0,244,JAVASCRIPT
07/29/2021,09:00,10:00,60.0,241,HTML_CSS
07/29/2021,10:58,12:03,65.0,149,STATISTICS
07/29/2021,12:58,13:58,60.0,156,TABLEAU
07/29/2021,19:04,20:04,60.0,172,ML_DEEP_LEARNING
07/30/2021,08:00,09:01,61.0,149,PYSPARK
07/30/2021,10:00,11:00,60.0,10,SQL
07/30/2021,12:00,13:00,60.0,168,APIS
07/30/2021,14:00,15:00,60.0,143,STATISTICS
07/30/2021,17:58,18:58,60.0,17,JAVASCRIPT
07/30/2021,08:03,09:03,60.0,171,PYTHON_PANDAS_MATPLOTLIB
07/31/2021,11:00,12:00,60.0,225,PYTHON_PANDAS_MATPLOTLIB
07/31/2021,13:59,14:59,60.0,93,SQL
07/31/2021,16:03,17:02,59.0,179,FLASK
07/31/2021,17:57,19:00,63.0,131,APIS
07/31/2021,19:30,20:00:00,60.0,171,PYTHON_PANDAS_MATPLOTLIB
07/31/2021,09:00,10:01,61.0,3,TABLEAU
08/01/2021,08:00,09:00,60.0,225,PYTHON_PANDAS_MATPLOTLIB
